Timestamp,RawReading,Weight_g
2025-09-18 12:03:04.466,162563,30.08
2025-09-18 12:03:05.246,178857,32.94
2025-09-18 12:03:06.027,181350,33.93
2025-09-18 12:03:06.804,168275,29.42
2025-09-18 12:03:07.586,158508,30.80
2025-09-18 12:03:08.367,169060,29.75
2025-09-18 12:03:09.145,165954,27.80
2025-09-18 12:03:09.926,159937,31.55
2025-09-18 12:03:10.704,158728,28.72
2025-09-18 12:03:11.487,154812,28.35
2025-09-18 12:03:12.268,158230,28.75
2025-09-18 12:03:13.048,189622,35.74
2025-09-18 12:03:13.827,196101,36.29
2025-09-18 12:03:14.606,187663,35.93
2025-09-18 12:03:15.388,194587,37.44
2025-09-18 12:03:16.167,190808,29.63
2025-09-18 12:03:16.946,147935,22.60
2025-09-18 12:03:17.726,175893,36.16
2025-09-18 12:03:18.506,189738,34.71
2025-09-18 12:03:19.288,176346,25.67
2025-09-18 12:03:20.067,180586,33.30
2025-09-18 12:03:20.847,190527,38.82
2025-09-18 12:03:21.623,167017,31.75
2025-09-18 12:03:22.406,192589,35.35
2025-09-18 12:03:23.186,150684,25.85
2025-09-18 12:03:23.967,168195,38.06
2025-09-18 12:03:24.747,203898,29.37
2025-09-18 12:03:25.527,193522,42.75
2025-09-18 12:03:26.306,188636,34.72
2025-09-18 12:03:27.087,131357,20.33
2025-09-18 12:03:27.866,219064,45.87
2025-09-18 12:03:28.647,122313,23.00
2025-09-18 12:03:29.427,121703,24.24
2025-09-18 12:03:30.206,165169,20.00
2025-09-18 12:03:30.986,129162,20.00
2025-09-18 12:03:31.766,119850,21.46
2025-09-18 12:03:32.547,170776,31.39
2025-09-18 12:03:33.326,169831,25.39
2025-09-18 12:03:34.106,171012,22.22
2025-09-18 12:03:34.886,230682,51.11
2025-09-18 12:03:35.664,197691,35.88
2025-09-18 12:03:36.446,140387,19.93
2025-09-18 12:03:37.226,120694,19.06
2025-09-18 12:03:38.006,134145,20.50
2025-09-18 12:03:38.786,147609,26.69
2025-09-18 12:03:39.566,138073,23.13
2025-09-18 12:03:40.345,195240,39.97
2025-09-18 12:03:41.122,181986,29.97
2025-09-18 12:03:41.903,172163,40.37
2025-09-18 12:03:42.683,221280,33.56
2025-09-18 12:03:43.466,181763,36.04
